host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463458.620011806,0.784708977,222,vicon_state_data,ball,1,0,-0.251344419,0.050160984,0.945999702,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.868071386,-0.383198326,0.819765795,0.000000000,0.000000000,-0.010849916,0.999941138,0
1782463458.623321772,0.788018942,223,vicon_state_data,ball,1,0,-0.249429504,0.051958610,0.947110414,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867799402,-0.383542678,0.819714274,0.000000000,0.000000000,-0.014174492,0.999899537,0
1782463458.626649618,0.791346788,224,vicon_state_data,ball,1,0,-0.249014640,0.052320105,0.946485133,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867811843,-0.383473419,0.819704630,0.000000000,0.000000000,-0.014073396,0.999900965,0
1782463458.629871130,0.794568300,225,vicon_state_data,ball,1,0,-0.246919954,0.054167431,0.947668640,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867779644,-0.383499616,0.819693880,0.000000000,0.000000000,-0.014306786,0.999897653,0
1782463458.633430719,0.798127890,226,vicon_state_data,ball,1,0,-0.244815241,0.055971010,0.948797839,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.868051958,-0.383059266,0.819748706,0.000000000,0.000000000,-0.010850598,0.999941131,0
1782463458.636865616,0.801562786,227,vicon_state_data,ball,1,0,-0.242603130,0.057770314,0.949950573,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867776058,-0.383440351,0.819676020,0.000000000,0.000000000,-0.014413435,0.999896121,0
1782463458.640135765,0.804832935,228,vicon_state_data,ball,1,0,-0.240354707,0.059558486,0.951125006,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867778249,-0.383404002,0.819677014,0.000000000,0.000000000,-0.014404199,0.999896254,0
1782463458.643356323,0.808053493,229,vicon_state_data,ball,1,0,-0.237988765,0.061346239,0.952309489,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867804224,-0.383312443,0.819722774,0.000000000,0.000000000,-0.014107910,0.999900478,0
1782463458.646713018,0.811410189,230,vicon_state_data,ball,1,0,-0.235615899,0.063088780,0.953515461,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.868096269,-0.382834502,0.819768323,0.000000000,0.000000000,-0.010452384,0.999945372,0
1782463458.649931431,0.814628601,231,vicon_state_data,ball,1,0,-0.233103557,0.064839789,0.954827747,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867789158,-0.383270688,0.819699502,0.000000000,0.000000000,-0.014219357,0.999898900,0
1782463458.653434038,0.818131208,232,vicon_state_data,ball,1,0,-0.230560774,0.066585441,0.956212240,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867823294,-0.383144695,0.819708262,0.000000000,0.000000000,-0.013875670,0.999903728,0
1782463458.656762600,0.821459770,233,vicon_state_data,ball,1,0,-0.227991432,0.068416478,0.957451906,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867799978,-0.383157974,0.819694034,0.000000000,0.000000000,-0.014135949,0.999900082,0
1782463458.660191298,0.824888468,234,vicon_state_data,ball,1,0,-0.225325374,0.070264315,0.958811537,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867753021,-0.383136504,0.819677197,0.000000000,0.000000000,-0.014419033,0.999896040,0
1782463458.663468599,0.828165770,235,vicon_state_data,ball,1,0,-0.222626404,0.072051830,0.960276537,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867813538,-0.382996047,0.819712089,0.000000000,0.000000000,-0.013855130,0.999904013,0
1782463458.666652441,0.831349611,236,vicon_state_data,ball,1,0,-0.219885714,0.073792957,0.961905336,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867819050,-0.382957100,0.819739388,0.000000000,0.000000000,-0.013825575,0.999904422,0
1782463458.670069456,0.834766626,237,vicon_state_data,ball,1,0,-0.217091195,0.075537215,0.963581922,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867790662,-0.382944051,0.819717641,0.000000000,0.000000000,-0.014077425,0.999900908,0
1782463458.673307180,0.838004351,238,vicon_state_data,ball,1,0,-0.214242386,0.077227325,0.965161557,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867778528,-0.382930735,0.819778306,0.000000000,0.000000000,-0.014228372,0.999898772,0
1782463458.676787138,0.841484308,239,vicon_state_data,ball,1,0,-0.211335867,0.078891538,0.966980224,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867811018,-0.382828119,0.819756248,0.000000000,0.000000000,-0.013848096,0.999904111,0
1782463458.680182219,0.844879389,240,vicon_state_data,ball,1,0,-0.208359548,0.080510829,0.969017277,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867746127,-0.382889844,0.819741095,0.000000000,0.000000000,-0.014503452,0.999894819,0
1782463458.683491230,0.848188400,241,vicon_state_data,ball,1,0,-0.205385743,0.082090674,0.970893443,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867787651,-0.382779054,0.819774566,0.000000000,0.000000000,-0.014127897,0.999900196,0
1782463458.686701298,0.851398468,242,vicon_state_data,ball,1,0,-0.202324560,0.083645231,0.973059135,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867746592,-0.382799130,0.819779111,0.000000000,0.000000000,-0.014449166,0.999895605,0
1782463458.690057278,0.854754448,243,vicon_state_data,ball,1,0,-0.199275239,0.085131668,0.975123680,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867992738,-0.382381289,0.819821654,0.000000000,0.000000000,-0.011132972,0.999938027,0
